[DEBUG] 2016-07-11 16:16:35,997 views Starting day: 2016-10-10
[DEBUG] 2016-07-11 17:10:34,416 views Starting day: 2016-10-10
[DEBUG] 2016-07-11 17:10:34,417 views Ending day: 2016-10-16
[DEBUG] 2016-07-11 17:10:34,418 views number shifts: 0
[DEBUG] 2016-07-11 17:10:34,418 views amount: 0
[DEBUG] 2016-07-11 17:10:50,175 views Starting day: 2016-09-05
[DEBUG] 2016-07-11 17:10:50,175 views Ending day: 2016-09-11
[DEBUG] 2016-07-11 17:10:50,177 views number shifts: 0
[DEBUG] 2016-07-11 17:10:50,177 views amount: 0
[DEBUG] 2016-07-11 17:11:12,922 views Starting day: 2016-06-27
[DEBUG] 2016-07-11 17:11:12,922 views Ending day: 2016-07-03
[DEBUG] 2016-07-11 17:11:12,923 views number shifts: 0
[DEBUG] 2016-07-11 17:11:12,924 views amount: 6
[DEBUG] 2016-07-11 17:12:06,091 views number shifts: 7
[DEBUG] 2016-07-11 17:12:07,188 views Starting day: 2016-07-11
[DEBUG] 2016-07-11 17:12:07,189 views Ending day: 2016-07-17
[DEBUG] 2016-07-11 17:12:07,189 views amount: 7
[DEBUG] 2016-07-11 17:20:32,491 views number shifts: 0
[DEBUG] 2016-07-11 17:20:32,492 views employee ids: set()
[DEBUG] 2016-07-11 17:20:32,496 views Starting day: 2016-07-11
[DEBUG] 2016-07-11 17:20:32,497 views Ending day: 2016-07-17
[DEBUG] 2016-07-11 17:20:32,497 views amount: 0
[DEBUG] 2016-07-11 17:20:57,107 views number shifts: 4
[DEBUG] 2016-07-11 17:20:57,116 views employee ids: {1, 2}
[DEBUG] 2016-07-11 17:20:58,153 views Starting day: 2016-07-25
[DEBUG] 2016-07-11 17:20:58,154 views Ending day: 2016-07-31
[DEBUG] 2016-07-11 17:20:58,154 views amount: 4
[DEBUG] 2016-07-11 17:24:56,045 views number shifts: 0
[DEBUG] 2016-07-11 17:24:56,047 views employee ids: set()
